region_nom,code_circonscription,nom_circonscription,nb_bureaux_vote,inscrits,votants,taux_participation,bulletins_nuls,suffrages_exprimes,bulletins_blancs_nombre,bulletins_blancs_pourcentage,parti_politique,nom_liste_candidat,score_voix,pourcentage_voix,est_elu,region_nom_norm,nom_circonscription_norm,nom_liste_candidat_norm,parti_politique_norm
KABADOUGOU,121,"BAKO, BOUGOUSSO ET DIOULATIEDOUGOU, COMMUNES ET SOUS-PREFECTURES",69,18754,13278,0.708,142,13136,158,0.012,RHDP,DIARRA CEDRIC TIDIANE,9026,0.6870999999999999,True,kabadougou,"bako, bougousso et dioulatiedougou, communes et sous-prefectures",diarra cedric tidiane,rhdp
KABADOUGOU,121,"BAKO, BOUGOUSSO ET DIOULATIEDOUGOU, COMMUNES ET SOUS-PREFECTURES",69,18754,13278,0.708,142,13136,158,0.012,INDEPENDANT,SANOGO AMADOU,47,0.0105,False,kabadougou,"bako, bougousso et dioulatiedougou, communes et sous-prefectures",sanogo amadou,independant
KABADOUGOU,121,"BAKO, BOUGOUSSO ET DIOULATIEDOUGOU, COMMUNES ET SOUS-PREFECTURES",69,18754,13278,0.708,142,13136,158,0.012,INDEPENDANT,TRAORE BOURAHIMA,215,0.0479,False,kabadougou,"bako, bougousso et dioulatiedougou, communes et sous-prefectures",traore bourahima,independant
KABADOUGOU,121,"BAKO, BOUGOUSSO ET DIOULATIEDOUGOU, COMMUNES ET SOUS-PREFECTURES",69,18754,13278,0.708,142,13136,158,0.012,INDEPENDANT,TRAORE SOULEIMANE,199,0.0444,False,kabadougou,"bako, bougousso et dioulatiedougou, communes et sous-prefectures",traore souleimane,independant
KABADOUGOU,122,"GBELEBAN ET SEYDOUGOU, COMMUNES ET SOUS-PREFECTURES",23,7903,4577,0.5791,92,4485,75,0.0167,RHDP,DOUMBIA ALASSANE,1916,0.42719999999999997,True,kabadougou,"gbeleban et seydougou, communes et sous-prefectures",doumbia alassane,rhdp
KABADOUGOU,122,"GBELEBAN ET SEYDOUGOU, COMMUNES ET SOUS-PREFECTURES",23,7903,4577,0.5791,92,4485,75,0.0167,INDEPENDANT,VAKABA FOFANA,1914,0.4268,False,kabadougou,"gbeleban et seydougou, communes et sous-prefectures",vakaba fofana,independant
KABADOUGOU,123,"ODIENNE , COMMUNE",87,32124,32116,0.9998,9,32107,0,0.0,RHDP,UNE COTE DIVOIRE EN PAIX PROSPERE ET SOLIDAIRE,32107,1.0,True,kabadougou,"odienne , commune",une cote divoire en paix prospere et solidaire,rhdp
KABADOUGOU,124,"KIMBIRILA-SUD, TIEME, SAMATIGUILA, ET SAMANGO, COMMUNES ET SOUS-PREFECTURES, ODIENNE, SOUS PREFECTURE",87,26474,17165,0.6484000000000001,244,16921,152,0.009000000000000001,INDEPENDANT,SYLLA MARIAME,2160,0.1277,False,kabadougou,"kimbirila-sud, tieme, samatiguila, et samango, communes et sous-prefectures, odienne, sous prefecture",sylla mariame,independant
KABADOUGOU,124,"KIMBIRILA-SUD, TIEME, SAMATIGUILA, ET SAMANGO, COMMUNES ET SOUS-PREFECTURES, ODIENNE, SOUS PREFECTURE",87,26474,17165,0.6484000000000001,244,16921,152,0.009000000000000001,INDEPENDANT,KONE BEN IDRISS,89,0.0053,False,kabadougou,"kimbirila-sud, tieme, samatiguila, et samango, communes et sous-prefectures, odienne, sous prefecture",kone ben idriss,independant
KABADOUGOU,124,"KIMBIRILA-SUD, TIEME, SAMATIGUILA, ET SAMANGO, COMMUNES ET SOUS-PREFECTURES, ODIENNE, SOUS PREFECTURE",87,26474,17165,0.6484000000000001,244,16921,152,0.009000000000000001,INDEPENDANT,DOUMBIA ALPHA,388,0.0229,False,kabadougou,"kimbirila-sud, tieme, samatiguila, et samango, communes et sous-prefectures, odienne, sous prefecture",doumbia alpha,independant
KABADOUGOU,124,"KIMBIRILA-SUD, TIEME, SAMATIGUILA, ET SAMANGO, COMMUNES ET SOUS-PREFECTURES, ODIENNE, SOUS PREFECTURE",87,26474,17165,0.6484000000000001,244,16921,152,0.009000000000000001,RHDP,DIABY LANCINE,11278,0.6665000000000001,True,kabadougou,"kimbirila-sud, tieme, samatiguila, et samango, communes et sous-prefectures, odienne, sous prefecture",diaby lancine,rhdp
KABADOUGOU,124,"KIMBIRILA-SUD, TIEME, SAMATIGUILA, ET SAMANGO, COMMUNES ET SOUS-PREFECTURES, ODIENNE, SOUS PREFECTURE",87,26474,17165,0.6484000000000001,244,16921,152,0.009000000000000001,INDEPENDANT,KEITA ADAMA,2685,0.15869999999999998,False,kabadougou,"kimbirila-sud, tieme, samatiguila, et samango, communes et sous-prefectures, odienne, sous prefecture",keita adama,independant
LA ME,141,"ADZOPE, COMMUNE",88,34787,12179,0.35009999999999997,3423,8756,42,0.0048,INDEPENDANT,ASSY NCHO GUY SERGE,84,0.0096,False,la me,"adzope, commune",assy ncho guy serge,independant
LA ME,141,"ADZOPE, COMMUNE",88,34787,12179,0.35009999999999997,3423,8756,42,0.0048,INDEPENDANT,ATSE URBAIN,593,0.0677,False,la me,"adzope, commune",atse urbain,independant
LA ME,141,"ADZOPE, COMMUNE",88,34787,12179,0.35009999999999997,3423,8756,42,0.0048,INDEPENDANT,BLE N'GUESSAN ALAIN CARLOS,430,0.049100000000000005,False,la me,"adzope, commune",ble n'guessan alain carlos,independant
LA ME,142,"AGOU, BECEDI-BRIGNAN ET YAKASSE-ME, COMMUNES ET SOUS-PREFECTURES",86,32407,10322,0.3185,270,10052,70,0.006999999999999999,INDEPENDANT,ASSI KANON JEAN SYLVESTRE,1755,0.1746,False,la me,"agou, becedi-brignan et yakasse-me, communes et sous-prefectures",assi kanon jean sylvestre,independant
LA ME,142,"AGOU, BECEDI-BRIGNAN ET YAKASSE-ME, COMMUNES ET SOUS-PREFECTURES",86,32407,10322,0.3185,270,10052,70,0.006999999999999999,INDEPENDANT,AMON NCHO KOUADIO PATRICK,911,0.0906,False,la me,"agou, becedi-brignan et yakasse-me, communes et sous-prefectures",amon ncho kouadio patrick,independant
LA ME,142,"AGOU, BECEDI-BRIGNAN ET YAKASSE-ME, COMMUNES ET SOUS-PREFECTURES",86,32407,10322,0.3185,270,10052,70,0.006999999999999999,INDEPENDANT,ASSY YAPO GHISLAIN,492,0.0489,False,la me,"agou, becedi-brignan et yakasse-me, communes et sous-prefectures",assy yapo ghislain,independant
LA ME,142,"AGOU, BECEDI-BRIGNAN ET YAKASSE-ME, COMMUNES ET SOUS-PREFECTURES",86,32407,10322,0.3185,270,10052,70,0.006999999999999999,INDEPENDANT,YAPI YATTE ALPHONSE,848,0.08439999999999999,False,la me,"agou, becedi-brignan et yakasse-me, communes et sous-prefectures",yapi yatte alphonse,independant
